COPY	START	1000	
FIRST	STL	RETADR	
CLOOP	JSUB	RDREC	
WRREC	LDA	LENGTH	
-	COMP	ZERO	
-	JEQ	ENDFIL	
-	JSUB	WRREC	
-	J	#10	
ENDFIL	LDA	EOF	
-	STA	LENGTH	
-	LDA	THREE	
-	STA	LENGTH	
-	JSUB	WRREC	
-	LDL	RETADR	
-	RSUB	-	
EOF	BYTE	C'EOF'	
THREE	WORD	3	
ZERO	WORD	0	
RETADR	RESW	1	
LENGTH	RESW	1	
BUFFER	RESB	4096	
RDREC	LDX	ZERO	
-	LDA	ZERO	
RLOOP	TD	INPUT	
-	JEQ	RLOOP	
-	RD	INPUT	
-	COMP	ZERO	
-	JEQ	EXIT	
-	STCH	BUFFER,X	
-	TIX	MAXLEN	
-	JLT	RLOOP	
EXIT	STX	LENGTH	
-	HIO	-	
INPUT	BYTE	X'F1'	
MAXLEN	WORD	4096	
